Player Name,Rank,OVR,PAC,SHO,PAS,DRİ,DEF,PHY,Acceleration,Sprint Speed,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Shot Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Detailed Dribbling,Composure,Interception,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression
Alex Morgan,20,89,83,89,80,88,47,77,82,84,94,90,80,83,88,75,71,73,89,82,68,83,67,82,92,89,91,46,84,41,43,39,90,87,81,53
Marc-André ter Stegen,21,89,86,85,892,911,47,861,45,50,14,67,10,14,25,70,18,12,61,63,18,39,43,85,30,21,70,22,11,25,13,10,72,35,78,43
Virgil van Dijk,22,89,783,60,71,72,892,86,66,87,52,81,64,45,62,65,53,70,79,86,60,59,50,88,76,70,89,88,86,90,91,86,89,72,93,85
Alisson,23,89,86,85,85,89,562,90,60,49,13,64,14,20,23,66,17,18,60,58,19,40,37,87,42,27,66,11,29,15,19,16,82,32,78,27
Ada Hegerberg,24,89,75,89,77,86,39,76,73,77,91,85,86,90,84,76,71,75,83,72,79,74,48,90,90,90,86,23,92,42,33,30,89,75,80,65
Casemiro,25,89,63,752,794,731,892,882,60,66,69,88,81,68,66,79,68,74,84,85,77,61,65,90,79,69,85,89,84,90,89,88,85,88,88,91
Irene Paredes,26,88,69,51,67,68,89,80,65,72,51,60,41,60,51,51,59,40,85,68,69,66,65,91,79,57,75,89,85,92,87,88,79,72,82,87
Bruno Fernandes,27,88,711,86,902,832,692,771,74,68,83,88,88,87,90,94,87,85,90,92,86,78,79,91,88,81,82,66,66,69,74,65,73,95,66,84
Wendie Renard,28,88,53,67,69,69,91,84,53,53,65,80,60,55,67,59,53,58,80,84,65,53,34,87,75,69,84,89,94,92,92,81,81,72,91,84
Antoine Griezmann,29,88,80,886,874,883,586,753,80,80,90,85,87,85,79,88,82,85,89,86,89,89,84,90,89,88,89,57,85,45,63,60,85,86,69,74
Victor Osimhen,30,88,90,864,661,835,422,821,87,92,91,86,77,83,75,70,62,52,74,54,63,78,68,89,86,83,80,34,84,36,45,22,94,81,86,68
Alexandra Popp,31,88,73,87,76,82,52,88,72,73,86,91,85,88,86,74,74,73,83,64,73,71,84,88,85,81,82,44,94,45,52,48,93,85,91,84
Debinha,32,88,84,81,87,91,46,68,83,84,82,80,78,86,78,90,85,80,87,85,89,90,94,77,91,93,84,49,56,49,39,44,72,81,61,70
Bernardo Silva,33,88,698,78,862,92,709,691,78,61,78,79,79,78,68,87,84,67,91,82,84,95,92,89,91,92,89,73,54,70,76,60,66,93,54,78
Federico Valverde,34,88,881,828,845,845,802,822,84,91,79,89,87,70,59,86,78,69,87,88,74,77,68,89,88,83,84,83,59,79,85,79,80,89,80,81
Sophia Smith,35,88,93,85,78,88,45,82,92,93,88,84,81,80,78,74,73,72,86,75,74,84,86,89,91,88,74,43,79,41,42,39,92,93,82,68
Ederson,36,88,861,82,912,862,64,862,64,63,14,68,18,18,51,70,20,20,61,65,15,60,48,87,40,23,70,27,14,29,15,8,79,44,78,38
Guro Reiten,37,88,88,80,86,86,60,63,86,89,82,81,82,61,69,87,93,80,86,82,74,92,89,89,86,84,88,65,50,60,60,57,66,92,50,58
Joshua Kimmich,38,88,702,742,881,84,821,79,77,65,68,78,83,69,69,85,91,76,88,91,85,84,84,88,85,82,86,85,72,82,84,78,78,94,68,88
Jan Oblak,39,88,851,90,78,872,463,861,42,53,11,59,12,13,11,67,13,14,43,40,13,64,48,85,30,12,68,24,15,27,14,18,72,42,78,36
Christiane Endler,40,88,87,82,84,90,42,89,46,35,15,63,17,8,13,69,15,11,31,35,17,39,42,83,22,15,45,15,13,15,11,12,60,35,46,21
Marie Katoto,41,88,83,88,77,84,39,71,85,82,90,86,85,91,82,79,71,72,85,70,71,80,65,85,87,84,85,27,91,37,35,30,93,72,80,44
Patri Guijarro,42,88,78,82,83,86,81,72,77,78,80,89,91,58,70,83,69,66,90,93,75,77,82,85,90,86,84,83,84,80,81,80,86,78,75,55
Fridolina Rolfö,43,87,82,82,82,87,83,80,84,81,82,85,81,81,71,82,82,63,90,75,74,77,68,87,90,90,81,83,78,83,85,80,86,81,91,50
Luka Modrić,44,87,721,76,89,871,72,66,75,70,72,79,82,76,83,91,86,78,91,92,85,92,92,85,90,84,92,80,55,70,73,72,67,83,58,62
Lucy Bronze,45,87,73,68,80,80,85,88,73,73,55,85,79,66,62,73,85,72,82,81,88,78,70,85,81,79,87,83,83,85,84,89,84,89,90,82
Frenkie de Jong,46,87,82,69,86,87,77,78,80,83,72,68,66,70,53,88,78,64,91,89,84,87,79,88,89,87,90,82,72,76,76,77,82,89,74,74
Lautaro Martínez,47,87,803,863,711,85,48,851,83,77,90,85,78,91,74,78,58,54,75,73,78,86,89,88,86,84,86,45,86,55,31,44,93,80,84,90
Beth Mead,48,87,81,84,84,87,67,73,80,81,85,87,87,73,68,87,88,88,85,74,81,72,84,89,90,90,82,73,68,61,69,68,83,81,84,31
Ewa Pajor,49,87,85,89,63,89,21,69,86,85,93,85,85,89,89,71,47,66,74,49,64,90,83,79,90,89,89,20,74,18,12,10,87,82,79,23
Martin Ødegaard,50,87,724,816,882,873,613,641,74,71,82,82,83,79,63,89,85,85,90,87,83,85,82,84,89,86,86,66,55,67,55,54,66,81,56,64
Mike Maignan,51,87,85,82,872,89,51,85,50,53,15,65,20,16,15,65,18,16,65,61,38,41,56,85,40,31,68,25,17,23,16,19,75,39,78,35
Lena Oberdorf,52,87,58,61,77,76,87,89,70,48,52,80,60,57,53,84,64,63,82,80,62,71,80,85,82,71,82,86,78,88,90,89,87,82,91,92
Lina Magull,53,87,81,74,84,86,57,68,84,79,72,70,79,76,72,90,73,78,90,83,78,91,89,85,91,83,75,76,56,45,60,48,72,85,60,65
Marquinhos,54,87,781,56,75,74,89,80,76,80,59,65,45,35,52,76,68,32,84,85,58,68,67,86,79,69,86,89,88,90,89,88,89,83,78,81
Gregor Kobel,55,87,862,844,74,891,441,856,38,52,10,56,10,10,12,59,13,12,39,33,13,37,29,85,34,24,66,14,13,15,15,15,71,30,81,24
Heung Min Son,56,87,871,881,802,842,42,701,85,88,89,88,89,79,73,81,83,74,82,72,87,81,74,89,82,87,87,39,68,47,34,33,78,88,64,62
Rose Lavelle,57,87,86,78,84,87,45,65,85,86,81,74,78,68,74,86,74,69,91,85,72,80,85,84,87,90,79,48,44,41,48,45,65,80,58,63
Sandra Paños,58,87,86,82,84,89,56,87,54,58,11,63,17,17,27,34,16,25,23,18,22,54,69,82,20,11,56,19,20,22,18,14,72,41,64,19
Gianluigi Donnarumma,59,87,90,821,79,89,52,832,50,55,12,59,18,8,24,60,12,14,36,34,12,64,38,84,30,28,65,26,12,20,14,16,71,34,72,30
Manuel Neuer,60,87,843,853,901,844,497,883,48,50,13,68,16,11,47,70,15,11,60,68,14,51,35,84,46,30,70,30,25,17,10,11,77,43,80,29
Ousmane Dembélé,61,86,93,77,812,87,36,571,94,93,75,83,76,76,75,83,86,64,80,76,82,90,81,80,87,89,81,36,43,42,30,33,65,68,52,54
Selma Bacha,62,86,87,72,84,82,79,78,92,83,65,92,72,49,60,79,92,70,87,77,88,94,87,77,81,80,84,80,58,76,84,87,79,91,71,78
Mary Earps,63,86,83,83,83,85,41,85,44,36,10,62,13,12,26,68,13,12,31,29,14,29,40,86,20,12,35,14,7,11,15,14,64,38,63,31
Bukayo Saka,64,86,851,817,791,874,605,705,88,82,83,78,79,79,82,83,83,69,81,69,81,85,86,85,87,89,80,62,45,60,62,60,70,84,63,68
Jude Bellingham,65,86,761,75,791,851,781,822,77,75,77,78,74,71,57,84,66,49,87,86,73,81,79,86,85,86,81,82,69,77,79,77,79,93,75,85
Rafael Leão,66,86,932,803,752,871,27,762,93,93,84,80,74,74,63,75,78,60,80,63,80,85,80,84,87,89,83,24,65,22,24,21,85,77,80,60
Pedri,67,86,781,692,821,881,702,741,81,76,72,68,68,56,53,88,68,62,88,86,79,88,90,87,88,87,87,73,50,68,77,65,73,87,73,62
Lauren Hemp,68,86,90,76,84,87,63,68,90,90,76,83,70,69,68,83,92,80,81,79,86,90,91,86,88,87,70,69,63,56,69,57,76,88,60,59
Matthijs de Ligt,69,86,669,612,643,681,851,861,62,70,50,84,75,45,40,45,52,55,79,78,48,53,62,85,73,65,82,82,85,87,85,88,88,75,91,86
Sandro Tonali,70,86,843,741,81,812,823,842,81,86,69,82,83,68,64,79,78,81,85,83,75,81,83,83,85,78,84,84,70,83,84,81,84,86,82,84
Riyad Mahrez,71,86,791,812,81,891,38,60,84,75,81,82,82,76,73,84,80,80,83,75,85,91,88,84,91,89,81,39,56,45,31,22,71,75,57,48
Grace Geyoro,72,86,77,72,82,82,83,78,82,73,75,74,71,52,59,83,70,65,89,86,72,74,79,87,86,82,79,88,64,80,90,80,79,93,74,71
Jamal Musiala,73,86,8510,752,761,914,63,611,84,86,79,73,75,70,55,82,67,51,82,77,69,93,92,86,89,94,84,65,49,64,63,68,65,78,53,59
Nicolò Barella,74,86,781,782,821,851,781,801,79,78,78,77,79,80,73,83,79,67,86,83,79,90,90,89,87,81,86,83,53,80,79,81,73,94,73,84
Jill Roord,75,86,77,84,84,85,52,73,78,76,82,86,90,80,74,87,78,80,87,82,81,80,75,87,87,85,82,57,59,59,46,34,80,76,83,44
Ronald Araujo,76,86,792,51,65,621,863,841,71,85,56,61,35,38,43,59,58,45,76,66,47,56,55,84,68,55,76,85,85,86,86,86,90,73,87,87
Paulo Dybala,77,86,80,85,85,90,40,601,84,76,83,84,89,90,87,91,82,88,86,79,89,88,90,79,93,90,79,42,58,32,41,39,73,72,60,43
İlkay Gündoğan,78,86,622,811,841,861,72,731,65,60,82,79,80,75,80,86,77,80,88,84,86,77,77,86,91,86,87,75,50,77,75,67,67,75,73,70
Vivianne Miedema,79,86,82,85,70,86,32,81,84,80,85,86,84,83,75,69,64,73,79,56,76,80,73,87,89,87,90,27,82,22,30,23,92,83,84,70
Sergej Milinković-Savić,80,86,68,80,82,82,79,86,66,70,82,83,81,74,59,83,71,78,86,86,81,62,63,84,87,85,84,79,86,78,79,74,88,91,87,79
Khvicha Kvaratskhelia,81,86,843,8014,8110,878,41,715,83,84,82,78,83,64,65,86,78,65,83,76,82,85,73,84,88,89,82,40,62,38,39,34,77,79,70,62
Andrew Robertson,82,86,80,61,821,81,811,771,82,78,55,76,65,32,55,82,87,71,82,76,82,75,74,85,83,81,83,83,67,82,83,81,77,95,65,85
Parejo,83,86,491,83,90,80,732,691,53,46,83,81,88,72,88,90,86,91,92,90,88,62,72,79,86,81,85,80,61,72,73,71,66,75,70,59
Sakina Karchaoui,84,86,89,61,82,87,79,65,92,87,55,65,67,59,53,73,89,67,86,78,80,90,85,82,87,87,86,82,61,78,84,79,72,86,50,72
Sadio Mané,85,86,855,83,791,871,44,743,84,85,85,85,78,75,75,83,78,64,83,71,77,87,88,88,86,87,84,35,79,42,42,38,85,79,70,75
Toni Kroos,86,86,512,801,90,81,701,713,55,48,76,89,85,82,73,89,88,84,92,92,86,63,71,88,88,80,88,80,58,71,70,60,61,75,72,68
Lindsey Horan,87,86,78,84,86,84,63,78,79,77,83,89,86,78,70,88,79,87,90,90,68,79,62,86,87,85,81,69,89,59,60,49,92,83,81,63
Éder Militão,88,86,851,50,691,711,861,82,82,88,48,62,42,34,60,59,69,40,78,76,60,70,62,85,72,70,74,86,87,86,87,85,92,85,79,84
Christopher Nkunku,89,86,826,81,83,88,623,671,81,82,86,79,78,70,67,84,81,80,85,80,82,88,90,85,88,89,81,64,61,62,64,54,74,78,64,59
N'Golo Kanté,90,86,693,651,731,801,852,775,74,64,64,71,65,56,54,77,68,49,80,74,49,78,92,89,81,78,84,88,54,88,90,85,70,84,70,89
Kim Little,91,86,76,78,83,88,62,66,79,74,74,85,74,82,78,86,78,65,89,80,77,85,88,89,91,88,84,74,56,38,75,74,67,92,53,65
Lea Schüller,92,86,86,83,70,81,33,73,85,86,92,78,72,73,74,68,66,65,77,61,78,77,77,87,86,80,74,31,87,24,26,27,91,81,75,55
João Cancelo,93,86,814,73,85,841,801,721,86,77,69,80,79,62,52,85,87,69,87,79,87,79,78,84,86,85,85,81,72,79,83,79,80,88,62,76
Cristiano Ronaldo,94,86,774,884,753,805,34,741,73,80,87,92,85,83,90,76,76,75,76,70,79,76,61,87,86,77,92,29,87,24,32,24,93,77,76,62
Trent Alexander-Arnold,95,86,76,69,901,791,80,73,73,79,62,82,75,63,55,90,93,85,88,91,87,72,72,84,84,78,82,83,69,79,83,78,74,89,66,69
Ashley Lawrence,96,86,86,67,82,80,82,78,86,86,58,79,76,66,67,82,85,70,84,81,78,86,87,86,78,78,83,80,73,84,86,81,84,86,72,80
Mallory Swanson,97,86,93,82,82,84,42,71,92,93,83,81,80,70,81,84,81,71,86,79,77,82,88,86,86,84,78,43,68,36,41,39,79,89,62,70
Wojciech Szczęsny,98,86,86,832,73,87,49,86,51,47,12,55,14,14,18,48,12,14,32,36,16,55,51,82,22,11,65,15,16,20,13,12,70,45,65,40
Cristiana Girelli,99,86,81,85,71,81,46,78,82,80,92,79,76,79,87,79,59,78,78,56,77,70,71,88,85,80,81,45,88,39,43,40,92,71,80,79
Jack Grealish,100,85,76,76,841,881,537,734,79,74,76,76,79,72,58,87,83,74,85,81,83,84,85,84,90,89,88,49,48,58,54,48,71,83,71,65
Marcos Acuña,101,85,751,74,83,834,811,841,76,75,66,83,81,67,76,82,86,75,84,77,88,83,90,84,84,82,86,81,61,81,85,84,80,91,82,83
David Alaba,101,85,79,71,83,80,85,77,79,79,63,82,78,67,79,78,83,85,89,80,77,76,78,88,85,77,85,87,77,89,84,83,86,73,78,78
Iago Aspas,101,85,811,85,79,86,35,641,78,84,90,81,80,84,82,81,80,83,80,73,79,87,72,86,87,87,85,39,77,39,21,18,79,69,60,63
Alessandro Bastoni,101,85,73,35,723,732,86,831,68,77,26,49,37,35,47,69,70,36,78,82,53,58,57,86,76,73,84,87,83,87,87,83,86,81,83,83
Ona Batlle,101,85,79,50,78,79,80,71,81,78,51,53,40,46,47,71,85,40,85,77,77,82,85,83,76,80,77,81,52,84,84,82,70,90,62,72
Domenico Berardi,101,85,82,832,81,871,36,721,82,82,85,83,80,78,76,83,78,75,85,79,78,92,87,85,87,86,78,25,62,42,30,30,75,78,64,85
Yassine Bounou,101,85,822,832,793,871,382,84,38,37,14,59,19,13,24,62,15,19,39,44,12,47,29,81,12,20,57,12,14,20,18,15,66,43,69,25
Millie Bright,101,85,57,50,69,58,86,87,51,62,49,63,46,35,59,57,50,52,84,86,51,34,37,84,59,59,85,80,89,90,87,78,86,78,92,88
Kadeisha Buchanan,101,85,67,44,58,65,87,85,66,68,34,63,49,43,45,47,31,56,75,71,51,63,63,78,68,61,81,85,81,91,86,87,88,79,90,80
Hakan Çalhanoğlu,101,85,67,80,861,851,702,662,72,62,75,86,87,74,81,88,78,85,88,87,85,83,79,86,88,85,85,76,53,74,70,65,64,80,55,76
Kingsley Coman,101,85,893,761,79,87,30,62,92,86,75,83,73,78,65,82,81,70,80,74,83,92,84,85,87,88,78,23,61,29,27,21,79,69,66,38
Rachel Daly,101,85,77,85,76,82,64,76,78,76,90,85,75,77,85,79,79,52,80,66,77,72,67,85,87,84,69,45,78,69,68,65,88,81,81,54
Giovanni Di Lorenzo,101,85,85,671,752,792,824,822,85,85,66,72,69,60,59,66,80,69,80,74,69,78,78,84,79,78,77,83,76,82,83,81,88,90,78,78
Phil Foden,101,85,811,791,821,88,571,60,86,77,81,83,78,59,64,84,78,68,86,82,75,91,91,81,90,88,81,59,47,60,59,47,63,83,47,64
Merle Frohms,101,85,85,82,76,84,51,86,45,59,8,57,7,7,18,31,9,10,28,29,11,61,44,80,20,8,44,18,10,6,13,11,67,29,70,20
Leon Goretzka,101,85,78,811,811,83,801,86,75,80,81,85,86,71,60,82,75,73,85,83,76,75,73,85,84,84,82,85,86,74,83,76,92,83,89,82
Kathrin Hendrich,101,85,72,39,70,73,86,75,71,73,31,64,27,30,56,54,62,49,84,78,72,78,62,87,80,66,73,86,84,89,85,85,84,76,71,82
Amandine Henry,101,85,60,80,78,78,83,82,63,58,75,91,85,64,75,80,65,67,86,82,68,68,61,85,83,77,82,84,72,85,85,78,80,73,85,88
Theo Hernández,101,85,93,711,76,81,78,841,92,94,67,83,71,66,50,73,84,64,79,68,69,78,76,85,79,83,80,78,74,74,81,80,90,90,81,82
Svenja Huth,101,85,82,72,83,86,52,67,85,80,71,73,68,79,70,82,85,75,85,78,78,90,94,82,86,85,79,62,32,40,59,66,59,90,67,42
Ciro Immobile,101,85,85,87,68,782,39,741,84,86,91,86,80,85,88,71,55,58,79,57,70,75,84,85,80,77,76,40,81,34,33,32,88,73,74,73
Jules Koundé,101,85,84,45,684,751,861,802,85,83,47,48,40,32,43,62,62,26,82,75,42,71,74,86,77,72,82,86,80,87,86,84,90,78,80,78
Aymeric Laporte,101,85,61,50,731,69,86,781,55,65,45,68,47,40,44,68,58,69,83,81,61,57,54,86,78,64,84,87,84,86,86,85,82,67,82,79
Emiliano Martínez,101,85,832,83,82,85,58,841,59,57,16,62,16,13,42,66,22,20,57,59,22,49,49,82,38,17,62,13,26,11,20,20,77,40,70,37
Katie McCabe,101,85,80,74,80,80,81,82,81,79,76,75,70,69,74,68,87,75,84,79,78,84,85,80,80,78,84,81,74,86,79,78,83,92,73,94
Keylor Navas,101,85,845,804,75,872,54,843,54,53,15,56,13,11,25,64,11,15,40,37,21,60,61,80,30,24,63,22,11,28,14,14,73,39,75,32
André Onana,101,85,832,80,882,852,61,844,62,60,12,66,17,13,27,64,15,17,43,53,30,66,53,84,38,26,64,15,20,12,18,14,80,38,79,32
Asisat Oshoala,101,85,91,84,78,85,50,85,92,91,90,78,79,85,72,75,79,75,80,77,77,91,84,82,82,87,72,50,78,45,47,49,90,78,92,75
Thomas Partey,101,85,683,71,821,80,811,821,60,74,66,86,78,56,49,85,74,70,86,86,69,63,50,82,84,84,87,82,68,82,85,79,77,79,84,84
Megan Rapinoe,101,85,73,85,83,86,46,72,72,73,86,84,84,70,91,80,86,81,86,77,90,80,80,80,89,86,91,47,72,41,45,39,80,70,75,67
Marcus Rashford,101,85,903,864,783,843,421,743,88,91,86,93,80,74,85,79,77,77,79,72,84,81,73,86,84,86,82,39,76,40,38,33,87,76,73,69
Declan Rice,101,85,71,651,751,771,831,83,67,74,61,78,65,50,71,78,55,65,83,84,68,55,65,83,79,80,83,86,72,83,84,82,79,91,79,84
Antonio Rüdiger,101,85,82,541,71,661,842,861,71,91,40,84,67,34,40,61,68,56,80,82,50,56,50,83,71,64,78,82,81,86,84,83,90,70,91,91
Becky Sauerbrunn,101,85,61,44,61,69,87,83,63,60,44,45,42,37,43,61,51,36,71,63,46,60,63,77,74,65,82,87,83,92,86,82,88,73,91,76
Khadija Shaw,101,85,69,85,69,75,30,85,69,69,90,85,78,77,75,79,59,56,75,65,58,55,45,84,80,78,86,25,89,23,25,17,92,79,92,71
Kailen Sheridan,101,85,85,82,80,85,41,84,38,45,10,60,17,9,25,42,13,15,24,33,13,58,46,81,26,14,43,13,17,18,14,13,65,40,64,26
Rodrygo,101,85,88,815,795,862,311,626,89,88,87,76,77,67,81,82,79,73,80,73,80,87,84,84,87,86,81,21,67,24,34,30,75,81,55,53
John Stones,101,85,72,521,754,772,851,77,67,76,54,55,44,44,52,78,63,37,86,79,52,66,59,86,84,75,87,84,84,86,86,84,84,74,77,80
Diogo Jota,101,85,823,821,75,85,57,77,85,80,85,86,76,79,69,78,73,58,77,72,77,86,85,88,84,85,80,56,86,53,57,45,90,79,71,85
Kevin Trapp,101,85,831,811,772,861,46,85,43,50,13,58,13,12,17,46,13,12,25,12,14,42,37,83,24,10,64,22,11,15,14,10,69,45,75,30
Kieran Trippier,101,85,682,651,864,792,822,72,73,64,54,82,71,58,66,85,92,87,84,86,87,66,79,85,85,76,84,83,79,82,84,81,79,85,64,75
Raphaël Varane,101,85,792,49,64,671,861,782,75,83,46,52,53,42,43,59,42,52,78,76,46,62,39,86,76,61,82,85,85,88,87,83,90,65,84,78
Keira Walsh,101,85,64,46,81,79,79,75,63,65,41,56,42,42,55,83,67,51,92,88,53,74,68,83,83,78,85,77,60,82,84,81,69,88,70,72
Leah Williamson,101,85,75,45,73,72,86,76,75,75,45,48,46,45,50,63,60,67,82,92,60,73,73,90,83,61,82,86,81,90,84,82,86,70,77,80
Florian Wirtz,101,85,744,763,833,871,521,633,78,70,78,74,75,73,60,88,77,64,88,81,80,86,85,85,89,87,83,45,39,59,57,44,59,83,53,63
Manuela Zinsberger,101,85,86,77,79,87,46,86,48,42,18,59,25,12,52,69,31,24,23,15,19,46,62,81,36,11,56,10,6,20,13,16,71,22,78,26
Thiago,147,84,61,72,861,891,711,672,69,54,68,75,73,81,75,86,78,77,90,88,84,90,88,78,91,89,88,78,54,68,73,72,65,70,60,80
Ismaël Bennacer,147,84,803,724,811,86,792,782,84,76,67,85,74,64,68,81,74,73,85,83,79,87,89,83,85,86,84,83,62,78,83,80,79,84,71,86
Ann-Katrin Berger,147,84,85,83,80,83,45,81,40,52,7,60,6,6,35,39,8,11,24,20,12,38,40,82,14,11,58,10,15,9,10,10,66,29,67,19
Bella Bixby,147,84,85,79,74,89,42,81,41,43,25,56,15,7,27,37,12,10,29,28,11,57,44,79,22,13,39,9,8,13,15,12,64,39,67,27
Lisa Boattin,147,84,75,68,81,81,81,86,76,75,63,79,75,45,68,76,79,76,85,80,81,77,75,89,83,81,82,83,69,86,80,79,84,88,86,83
Julian Brandt,147,84,714,802,842,861,513,705,69,73,80,83,81,79,55,86,82,76,87,82,80,84,84,86,87,86,84,58,54,49,45,56,69,88,71,45
Jane Campbell,147,84,84,83,85,83,40,85,38,44,18,64,14,12,32,38,17,15,22,29,14,54,55,79,21,15,38,19,17,12,18,19,55,39,42,21
Catarina Macario,147,84,81,83,80,89,57,73,82,80,83,82,89,74,76,83,79,82,81,74,90,84,84,78,92,90,86,59,72,53,59,47,83,79,71,70
Yannick Carrasco,147,84,881,811,80,852,596,661,87,88,81,84,82,74,79,80,82,80,80,74,86,86,70,80,84,88,84,57,56,54,64,61,74,75,61,65
Delphine Cascarino,147,84,94,74,80,88,38,58,95,94,71,80,75,70,65,80,83,60,83,76,75,93,92,79,89,88,79,35,48,39,39,32,70,76,55,41
Koen Casteels,147,84,84,82,772,86,45,851,44,46,15,58,18,13,20,42,15,13,35,37,20,50,43,80,23,14,40,16,14,11,19,17,69,44,72,33
Federico Chiesa,147,84,91,821,76,86,535,752,91,91,81,86,84,80,62,77,75,62,78,72,78,89,81,84,82,89,82,54,50,60,48,44,75,85,70,74
Thiago Silva,147,84,512,54,741,72,87,742,45,55,40,71,65,61,60,73,60,61,83,84,62,62,65,88,80,67,86,85,81,90,87,84,77,66,78,74
Rúben Neves,147,84,602,751,86,77,76,73,64,56,66,86,83,82,77,87,80,81,88,88,85,68,72,81,83,74,88,80,53,78,79,77,65,79,67,82
Sara Däbritz,147,84,76,81,84,86,74,73,75,76,81,83,84,69,70,86,78,75,87,85,83,86,67,80,88,89,80,80,52,77,76,68,74,77,78,53
Linda Dallmann,147,84,77,77,79,86,46,61,79,75,83,67,78,69,65,83,69,65,84,81,75,91,85,85,85,87,76,50,34,46,48,44,58,78,54,57
Rodrigo Javier De Paul,147,84,78,77,83,82,75,832,80,76,76,80,78,71,66,86,78,76,85,85,84,78,78,81,85,82,81,79,58,72,81,75,79,92,79,82
Memphis Depay,147,84,821,822,811,851,30,801,81,83,82,85,82,75,76,85,84,83,80,75,84,81,81,84,85,86,79,28,65,23,31,20,84,79,84,72
Moussa Diaby,147,84,952,73,75,861,42,59,95,95,80,73,64,67,48,77,76,42,80,72,71,92,93,76,85,87,75,48,28,48,35,46,56,82,44,67
Raphinha,147,84,91,79,781,861,533,73,90,91,78,83,79,72,78,80,80,79,78,74,81,88,79,84,85,87,80,55,74,47,54,38,83,86,65,76
Luis Díaz,147,84,91,811,75,87,34,741,92,91,81,84,82,74,63,77,76,58,76,71,77,88,75,83,87,89,83,25,62,28,38,34,80,84,69,70
Gabriel,147,84,702,415,622,602,852,822,61,77,37,62,30,28,40,59,38,27,78,74,47,51,37,85,71,52,74,86,85,85,84,85,86,71,86,85
