Positioning,Rank,Player Name,OVR,PAC,SHO,PAS,DRİ,DEF,PHY,Position,Acceleration,Sprint Speed,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Shot Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Detailed Dribbling,Composure,Interception,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Age,Att_Work_Rate,Def_Work_Rate,Age,Foot,Height,League,Nation,Team,Weight,Reflexes,Positioning2,Kicking,Handling,Diving
10,576,GK,81,80,78,45,79,80,81,Laura Benkarth,42,50,8,60,11,13,20,44,12,12,27,19,16,41,42,75,14,11,59,13,14,16,11,12,69,37,75,26,31,Medium,Medium,31,Right,176CM,D1 Arkema,Germany,OL,73KG,,,,,
16,576,GK,781,80,791,56,802,831,802,Claudio Bravo,58,54,13,62,17,11,23,70,12,38,59,61,25,63,62,73,32,22,64,23,18,15,18,19,72,39,67,40,40,Medium,Medium,40,Right,184CM,LALIGA EA SPORTS,Chile,Real Betis,80KG,,,,,
9,576,GK,781,80,811,37,801,791,79,Marko Dmitrović,39,35,20,59,17,20,58,45,30,18,40,40,20,32,37,77,9,8,59,17,20,19,22,20,72,45,79,20,31,Medium,Medium,31,Left,194CM,LALIGA EA SPORTS,Serbia,Sevilla FC,91KG,,,,,
15,576,GK,81,80,80,51,82,77,75,Lola Gallardo,49,54,12,58,18,14,23,21,22,22,30,27,15,57,60,75,22,10,52,18,14,17,16,20,70,35,72,26,30,Medium,Medium,30,Right,172CM,Liga F,Spain,Atlético de Madrid,53KG,,,,,
14,576,GK,81,80,79,43,80,73,78,Didi Haračić,45,41,14,55,21,11,26,37,14,10,25,29,11,54,47,79,19,12,45,16,18,13,19,18,68,39,67,15,31,Medium,Medium,31,Right,173CM,NWSL,Bosnia and Herzegovina,Angel City FC,65KG,,,,,
12,576,GK,82,80,792,45,82,814,75,Matheus,44,47,12,61,15,13,13,52,15,12,27,36,21,45,48,75,22,12,46,26,14,16,20,15,68,32,71,19,31,Medium,Medium,31,Right,190CM,Liga Portugal,Brazil,SC Braga,84KG,,,,,
20,576,GK,791,80,801,48,821,825,79,Pau López,45,52,19,62,18,17,25,69,24,21,63,55,23,40,57,74,44,18,62,16,15,19,20,11,60,42,52,39,29,Medium,Medium,29,Left,189CM,Ligue 1 Uber Eats,Spain,OM,77KG,,,,,
8,576,GK,801,80,80,48,823,751,791,Giorgi Mamardashvili,48,48,9,56,7,7,11,34,13,10,15,15,11,35,26,73,22,11,26,8,14,5,12,10,70,45,74,25,23,Medium,Medium,23,Left,199CM,LALIGA EA SPORTS,Georgia,Valencia CF,88KG,,,,,
14,576,GK,791,80,83,51,832,74,751,Simon Mignolet,50,52,11,56,16,16,41,43,11,12,50,40,16,34,52,73,26,14,61,21,16,7,14,16,71,31,72,34,35,Medium,Medium,35,Right,193CM,1A Pro League,Belgium,Club Brugge,87KG,,,,,
13,576,GK,76,80,831,51,77,72,80,Fernando Muslera,50,52,10,54,10,10,24,62,15,10,44,47,14,60,62,79,27,25,60,23,12,12,16,16,68,40,68,32,37,Medium,Medium,37,Right,190CM,Trendyol Süper Lig,Uruguay,Galatasaray,74KG,,,,,
15,576,GK,80,80,782,52,82,763,772,Jonas Omlin,52,51,17,57,18,15,27,48,24,16,45,35,21,32,51,74,31,27,55,25,24,20,21,24,74,35,72,22,29,Medium,Medium,29,Right,190CM,Bundesliga,Switzerland,M'gladbach,85KG,,,,,
16,576,GK,81,80,80,5319,82,792,751,David Ospina,55,50,10,59,12,12,26,50,11,13,36,40,10,59,60,77,32,12,57,25,15,11,13,12,62,29,49,20,35,Medium,Medium,35,Right,183CM,ROSHN Saudi League,Colombia,Al Nassr,80KG,,,,,
15,576,GK,804,80,805,574,825,822,784,David Raya,64,46,19,62,14,20,26,67,12,15,58,63,18,68,45,73,40,19,65,11,20,28,14,13,61,31,38,29,28,Medium,Medium,28,Right,183CM,Premier League,Spain,Arsenal,75KG,,,,,
12,576,GK,802,80,792,43,821,73,792,David Soria,49,34,19,55,18,19,23,45,15,11,24,33,23,49,42,78,19,16,58,18,24,22,13,13,74,43,75,24,30,Medium,Medium,30,Right,192CM,LALIGA EA SPORTS,Spain,Getafe CF,85KG,,,,,
13,576,GK,80,80,81,44,82,75,74,Phallon Tullis-Joyce,44,45,11,56,19,9,18,31,12,15,24,28,12,53,58,78,17,12,32,8,12,12,15,13,65,26,65,17,27,Medium,Medium,27,Right,185CM,Barclays WSL,United States,Manchester Utd,61KG,,,,,
15,733,GK,81,79,79,58,80,76,78,Emily Alvarado,55,62,20,57,11,14,22,39,14,13,32,24,23,40,58,71,29,26,42,19,14,20,18,20,71,35,70,30,25,Medium,Medium,25,Right,180CM,NWSL,Mexico,Houston Dash,72KG,,,,,
10,733,GK,80,79,78,51,81,77,73,Mackenzie Arnold,54,46,13,58,15,15,22,50,15,13,32,31,15,41,54,75,25,19,53,20,8,20,12,16,64,36,59,22,29,Medium,Medium,29,Right,181CM,Barclays WSL,Australia,West Ham,76KG,,,,,
8,733,GK,80,79,76,53,831,73,74,Emil Audero,55,49,16,55,19,18,22,30,13,12,29,19,12,53,51,76,18,19,56,11,19,10,10,10,67,25,55,24,26,Medium,Medium,26,Right,192CM,Serie A TIM,Italy,Inter,83KG,,,,,
17,733,GK,791,79,791,3711,821,72,772,Walter Benítez,38,35,14,54,14,13,25,46,12,17,28,27,20,45,45,75,20,19,62,21,13,17,20,17,69,40,80,28,30,Medium,Medium,30,Right,191CM,Eredivisie,Argentina,PSV,93KG,,,,,
9,733,GK,805,79,796,30,846,728,764,Marco Carnesecchi,24,39,8,54,10,7,17,54,11,12,36,31,18,40,25,66,21,14,40,13,20,16,15,12,57,28,55,27,23,Medium,Medium,23,Right,191CM,Serie A TIM,Italy,Bergamo Calcio,83KG,,,,,
8,733,GK,79,79,79,39,81,75,78,Mylène Chavas,37,41,10,56,9,8,14,41,10,12,29,32,13,30,41,73,18,11,45,16,12,11,18,16,61,25,60,30,25,Medium,Medium,25,Left,178CM,Liga F,France,Real Madrid CF,63KG,,,,,
10,733,GK,791,79,78,42,801,721,801,Andrea Consigli,48,34,10,54,19,19,21,46,10,15,31,27,15,57,40,75,23,10,63,15,10,10,17,19,59,31,51,11,36,Medium,Medium,36,Right,189CM,Serie A TIM,Italy,Sassuolo,82KG,,,,,
9,733,GK,804,79,807,4414,825,723,764,Michele Di Gregorio,45,43,9,54,18,11,17,65,13,14,28,19,17,45,55,66,20,18,56,15,11,21,14,10,64,36,62,26,26,Medium,Medium,26,Right,187CM,Serie A TIM,Italy,Monza,81KG,,,,,
15,733,GK,77,79,771,36,781,741,811,Stole Dimitrievski,35,38,20,56,17,15,21,51,11,17,23,27,17,44,43,76,19,18,53,21,14,19,19,17,66,40,72,17,29,Medium,Medium,29,Right,188CM,LALIGA EA SPORTS,North Macedonia,Rayo Vallecano,84KG,,,,,
9,733,GK,79,79,75,42,80,75,79,Nicky Evrard,40,44,9,56,10,9,17,39,13,12,32,28,16,39,43,73,19,16,35,12,12,10,13,14,55,37,48,27,28,Medium,Medium,28,Left,174CM,Barclays WSL,Belgium,Brighton,72KG,,,,,
15,733,GK,784,79,794,49,784,683,802,Łukasz Fabiański,50,47,13,51,20,17,22,57,14,12,32,50,18,53,44,73,22,14,63,16,11,14,12,13,66,25,65,43,38,Medium,Medium,38,Right,190CM,Premier League,Poland,West Ham,83KG,,,,,
13,733,GK,771,79,783,39,859,66,751,Marcelo Grohe,43,32,12,50,13,10,24,55,10,13,35,22,18,40,34,77,23,11,69,27,14,14,10,17,65,28,65,40,36,Medium,Medium,36,Right,188CM,ROSHN Saudi League,Brazil,Al Ittihad,80KG,,,,,
7,733,GK,77,79,79,54,77,74,78,Maria-Luisa Grohs,55,52,6,56,6,5,19,55,12,15,22,34,11,56,53,80,23,10,23,12,5,13,11,10,67,19,68,21,22,Medium,Medium,22,Right,180CM,GPFBL,Germany,FC Bayern München,70KG,,,,,
8,733,GK,80,79,75,55,811,77,78,Dean Henderson,55,56,9,58,6,5,16,55,14,10,45,48,13,61,56,76,35,13,60,11,13,15,14,14,68,32,64,35,26,Medium,Medium,26,Right,188CM,Premier League,England,Crystal Palace,85KG,,,,,
13,733,GK,79,79,761,47,781,752,781,Sergio Herrera,45,50,16,56,14,16,32,37,20,21,24,21,21,45,45,77,27,15,53,12,14,15,17,18,66,42,67,25,30,Medium,Medium,30,Right,192CM,LALIGA EA SPORTS,Spain,CA Osasuna,82KG,,,,,
10,733,GK,77,79,79,52,76,76,78,Stina Johannes,52,52,7,57,7,6,13,69,12,14,25,15,11,51,35,79,13,12,51,13,7,13,11,9,67,28,69,23,23,Medium,Medium,23,Right,177CM,GPFBL,Germany,Frankfurt,66KG,,,,,
9,733,GK,80,79,77,54,80,75,75,Elene Lete,52,57,10,56,8,8,11,30,9,12,15,20,11,60,45,77,12,12,30,15,15,10,16,20,62,20,36,18,21,Medium,Medium,21,Right,173CM,Liga F,Spain,Real Sociedad,66KG,,,,,
8,733,GK,80,79,78,36,79,77,77,María Valenzuela,36,36,8,58,10,9,12,30,10,12,15,25,10,56,44,78,15,14,33,17,12,10,18,20,48,17,34,20,21,Medium,Medium,21,Right,174CM,Liga F,Spain,Levante UD,79KG,,,,,
12,733,GK,76,79,79,40,80,73,78,Katie Lund,38,43,12,55,9,7,25,36,11,10,27,32,13,58,38,74,16,12,40,8,8,12,11,8,61,39,64,19,27,Medium,Medium,27,Right,183CM,NWSL,United States,Rac. Louisville,65KG,,,,,
12,733,GK,791,79,792,45,80,754,772,Robert Sánchez,45,44,14,56,16,15,15,65,12,14,51,55,12,40,35,73,37,15,65,8,15,18,13,15,66,40,66,33,26,Medium,Medium,26,Right,197CM,Premier League,Spain,Chelsea,85KG,,,,,
17,733,GK,803,79,781,52,812,703,753,José Sá,52,53,15,53,18,17,11,50,18,21,48,42,12,62,40,77,19,17,45,18,14,14,19,15,72,34,75,35,30,Medium,Medium,30,Right,192CM,Premier League,Portugal,Wolves,84KG,,,,,
11,733,GK,761,79,77,49,81,74,79,Steve Mandanda,53,43,13,56,7,13,11,59,14,12,60,36,13,52,36,80,27,19,62,23,13,13,15,13,67,31,61,37,38,Medium,Medium,38,Right,187CM,Ligue 1 Uber Eats,France,Stade Rennais FC,82KG,,,,,
19,733,GK,793,79,811,44,824,73,771,Juan Musso,46,42,18,55,14,15,25,48,20,12,31,24,16,32,39,70,20,16,67,18,15,12,14,16,68,35,70,27,29,Medium,Medium,29,Right,191CM,Serie A TIM,Argentina,Bergamo Calcio,93KG,,,,,
